Player ID,Team Name
1151,GNB
1152,GNB
1153,CRD
1154,PHI
1155,GNB
1156,BOS
1157,CHI
1158,CRD
1159,CHI
1160,CHI
1161,NYG
1162,NYG
1163,DET
1164,GNB
1165,DET
1166,GNB
1167,CRD
1168,BKN
1169,GNB
1170,DET
1171,BOS
1172,GNB
1173,CRD
1174,PIT
1175,NYG
1176,PHI
1177,PHI
1178,PIT
1179,BOS
1180,CHI
1181,2TM
1182,NYG
1183,PIT
1184,PIT
1185,2TM
1186,2TM
1187,NYG
1188,PHI
1189,PIT
1190,CRD
1191,CHI
1192,2TM
1193,CHI
1194,BKN
1195,PHI
1196,PHI
1197,CHI
1198,STL
1199,BOS
1200,BOS
1201,BKN
1202,2TM
1203,CHI
1204,PIT
1205,PHI
1206,BOS
1207,PIT
1208,CRD
1209,BOS
1210,2TM
1211,CRD
1212,GNB
1213,STL
1214,NYG
1215,CIN
1216,NYG
1217,DET
1218,GNB
1219,NYG
1220,DET
1221,CHI
1222,BKN
1223,CRD
1224,NYG
1225,PIT
1226,DET
1227,NYG
1228,2TM
1229,GNB
1230,NYG
1231,CHI
1232,PIT
1233,PHI
1234,CHI
1235,CRD
1236,CHI
1237,GNB
1238,CHI
1239,PIT
1240,CHI
1241,BKN
1242,GNB
1243,CHI
1244,GNB
1245,BOS
1246,GNB
1247,BKN
1248,BOS
1249,BOS
1250,PHI
1251,NYG
1252,DET
1253,DET
1254,BOS
1255,CRD
1256,DET
1257,2TM
1258,NYG
1259,GNB
1260,NYG
1261,DET
1262,PHI
1263,NYG
1264,BKN
1265,GNB
1266,NYG
1267,CRD
1268,NYG
1269,DET
1270,NYG
1271,BKN
1272,GNB
1273,BKN
1274,GNB
1275,GNB
1276,BKN
1277,CHI
1278,GNB
1279,PHI
1280,CHI
1281,PHI
1282,CRD
1283,CHI
1284,CRD
1285,PIT
1286,NYG
1287,CHI
1288,PIT
1289,BOS
1290,CRD
1291,2TM
1292,PHI
1293,CRD
1294,CHI
1295,CHI
1296,GNB
1297,2TM
1298,GNB
1299,PHI
1300,DET
1301,CHI
1302,GNB
1303,BOS
1304,CHI
1305,BOS
1306,BKN
1307,DET
1308,GNB
1309,DET
1310,2TM
1311,GNB
1312,PIT
1313,DET
1314,BKN
1315,NYG
1316,GNB
1317,CHI
1318,NYG
1319,PIT
1320,CHI
1321,GNB
1322,GNB
1323,DET
1324,BOS
1325,GNB
1326,GNB
1327,DET
1328,PIT
1329,PIT
1330,DET
1331,CHI
1332,CHI
1333,NYG
1334,BOS
1335,CHI
1336,NYG
1337,CHI
1338,NYG
1339,CHI
1340,CRD
1341,BOS
1342,NYG
1343,CRD
1344,PHI
1345,GNB
1346,BKN
1347,PHI
1348,BKN
1349,GNB
1350,BOS
1351,PHI
1352,DET
1353,CHI
1354,NYG
1355,CRD
1356,BKN
1357,GNB
1358,PHI
1359,GNB
1360,BKN
1361,NYG
1362,PHI
1363,PHI
1364,NYG
1365,BOS
1366,CRD
1367,CHI
1368,DET
1369,CRD
1370,CHI
1371,CRD
1372,PHI
1373,DET
1374,GNB
1375,GNB
1376,DET
1377,NYG
1378,BOS
1379,NYG
1380,PIT
1381,PIT
1382,PIT
1383,2TM
1384,BOS
1385,PIT
1386,PHI
1387,GNB
1388,BOS
1389,CHI
1390,GNB
1391,CHI
1392,GNB
1393,WAS
1394,DET
1395,GNB
1396,WAS
1397,CRD
1398,DET
1399,PIT
1400,NYG
1401,RAM
1402,PHI
1403,NYG
1404,GNB
1405,PIT
1406,WAS
1407,CHI
1408,CHI
1409,BKN
1410,DET
1411,BKN
1412,DET
1413,PHI
1414,DET
1415,WAS
1416,PIT
1417,WAS
1418,NYG
1419,PIT
1420,PHI
1421,NYG
1422,RAM
1423,GNB
1424,2TM
1425,BKN
1426,BKN
1427,GNB
1428,CRD
1429,WAS
1430,CHI
1431,GNB
1432,CHI
1433,CRD
1434,NYG
1435,CRD
1436,GNB
1437,CRD
1438,CRD
1439,GNB
1440,RAM
1441,CHI
1442,CHI
1443,CRD
1444,CRD
1445,WAS
1446,PIT
1447,GNB
1448,CHI
1449,NYG
1450,DET
1451,CRD
1452,NYG
1453,NYG
1454,CRD
1455,CHI
1456,PIT
1457,GNB
1458,DET
1459,DET
1460,PHI
1461,PHI
1462,DET
1463,DET
1464,DET
1465,WAS
1466,RAM
1467,DET
1468,WAS
1469,CRD
1470,NYG
1471,CHI
